M1-vs-0deb7fe: applied=true (MUTANT-M1 0->1, files changed 2, A-panel 1); exit 0; tests 67 pass 67 fail 0 skipped 0; RED = {none}
M1: applied=true (MUTANT-M1 0->1, files changed 1, A-panel 1); exit 1; tests 68 pass 66 fail 2 skipped 0; RED = {link-sites: AS-98 — every href in public/*.js comes from an allowlisted source (12 files, 9 assignments examined) | link-sites: AS-98/AS-120 — no file in public/*.js sets href by any mechanism other than a plain .href = assignment}
M2: applied=true (MUTANT-M2 0->1, files changed 1, A-panel 1); exit 1; tests 68 pass 65 fail 3 skipped 0; RED = {link-sites: AS-98 — every href in public/*.js comes from an allowlisted source (12 files, 9 assignments examined) | link-sites: AS-98/AS-120 — no file in public/*.js sets href by any mechanism other than a plain .href = assignment | link-sites: AS-98 — no file in public/*.js reads the server-baked url field (member or bracket access)}
M3: applied=true (MUTANT-M3 0->1, files changed 1, A-panel 1); exit 1; tests 68 pass 65 fail 3 skipped 0; RED = {api: AS-93 — all four dashboard link sites go through the helper (4 examined, 4 covered) | link-sites: AS-98 — every href in public/*.js comes from an allowlisted source (12 files, 9 assignments examined) | link-sites: AS-98/AS-120 — no file in public/*.js sets href by any mechanism other than a plain .href = assignment}
M4: applied=true (MUTANT-M4 0->1, files changed 1, A-panel 1); exit 1; tests 68 pass 66 fail 2 skipped 0; RED = {link-sites: AS-98 — every href in public/*.js comes from an allowlisted source (12 files, 9 assignments examined) | link-sites: AS-98/AS-120 — no file in public/*.js sets href by any mechanism other than a plain .href = assignment}
M5: applied=true (MUTANT-M5 0->1, files changed 1, A-panel 1); exit 1; tests 68 pass 67 fail 1 skipped 0; RED = {link-sites: AS-98/AS-120 — no file in public/*.js sets href by any mechanism other than a plain .href = assignment}
M6: applied=true (MUTANT-M6 0->1, files changed 1, A-panel 1); exit 1; tests 68 pass 67 fail 1 skipped 0; RED = {link-sites: AS-98/AS-120 — no file in public/*.js sets href by any mechanism other than a plain .href = assignment}
M7: applied=true (MUTANT-M7 0->1, files changed 1, A-panel 1); exit 0; tests 68 pass 68 fail 0 skipped 0; RED = {none}
M8: applied=true (MUTANT-M8 0->1, files changed 1, A-panel 1); exit 1; tests 68 pass 66 fail 2 skipped 0; RED = {link-sites: AS-98 — the classifier itself rejects every known evasion spelling and accepts every allowed one | link-sites: AS-120 — the classifier and the mechanism ban see all 16 ECMAScript assignment operators and no comparison operator}
M9: applied=true (MUTANT-M9 0->1, files changed 1, A-panel 1); exit 1; tests 68 pass 67 fail 1 skipped 0; RED = {link-sites: AS-120 — the classifier and the mechanism ban see all 16 ECMAScript assignment operators and no comparison operator}
